	mRNA	log(FC)	Expression
2150	HJURP	1.2061374	Up
1379		1.2049314	Up
192	PTAFR	1.2046713	Up
1267		1.2020276	Up
1554	WDR61	1.2020254	Up
1591	DLL4	1.2017183	Up
1978	SNX24	1.2011151	Up
2927	BLM	1.2008418	Up
3131	CD28	1.2007106	Up
1766		1.2004546	Up
1756		1.19813	Up
3042	FANCA	1.1972615	Up
2784	PRKAA1	1.1967031	Up
3321	BEST1	1.196175	Up
3320	DR1	1.194887	Up
2175	VPS33A	1.1948194	Up
2902	KIF18B	1.1938523	Up
2884	MAPK14	1.1935754	Up
1926	OR5K1	1.192561	Up
2690	CEMP1///AMDHD2	1.1918284	Up
1595	LDHC	1.1913352	Up
3108	MGC40069///TRAC///TRAJ17///TRAV20///TRDV2///YME1L1	1.191173	Up
2663		1.1911159	Up
1261	STK39	1.1901407	Up
2072	GLRX3	1.1901077	Up
719	LSM4	1.1900223	Up
989	APOE	1.1898738	Up
1513	SNX29	1.1897573	Up
845	KRAS	1.1883872	Up
1114		1.1871749	Up
3130	POPDC2	1.1871729	Up
562	SPIRE2	1.1871277	Up
1095	DNAJC1	1.1867388	Up
2004	EME2	1.1866173	Up
1703	PNP	1.1859155	Up
846	PDGFB	1.1850939	Up
2686	CKS1B	1.1848531	Up
962	FLJ31713	1.1842208	Up
1458	ARHGAP4	1.1841275	Up
2603	MSH4	1.1835175	Up
2453	ZNF195	1.1822784	Up
1541	IL2RA	1.1811274	Up
2475	LOC101929162	1.1803164	Up
2173	BCAS1	1.1800322	Up
1804	KPNA2	1.1798234	Up
2086	RAD51L3-RFFL///RFFL	1.178968	Up
1254	PPARA	1.1774923	Up
534		1.1773109	Up
2946	EIF2AK4	1.1755067	Up
3102	LAMB1	1.1754283	Up
738	HHIP	1.1753314	Up
2636		1.1749704	Up
2397	FPR3	1.1749623	Up
2801	FBXO28	1.1740759	Up
1879		1.1732397	Up
3118	HOXA13	1.1727891	Up
2823	NUP210	1.1725318	Up
1854	GADD45A	1.1712026	Up
2661	ASH1L-AS1	1.1707909	Up
1380	CLEC2B	1.1693518	Up
1008	PRR18	1.1691198	Up
683	LOC339978	1.1683917	Up
2981		1.1667593	Up
1406	DR1	1.1665105	Up
2846	DLG3	1.1658547	Up
411	HOXA-AS3	1.164672	Up
2701	SLC30A5	1.1640565	Up
3490	LOC101928618	1.16065	Up
837		1.1605699	Up
1662	ATP6V1C1	1.1596972	Up
2276	SAMD1	1.1593141	Up
1646		1.159198	Up
1653	KCCAT333	1.1588813	Up
3392	TRABD2A	1.1587576	Up
1722	DR1	1.1577704	Up
1730	LINC00857	1.1572971	Up
1010	VWA3B	1.1569624	Up
718	ISG20	1.1564231	Up
3461	USH2A	1.1558577	Up
2369		1.1557945	Up
1409	LOC100130370	1.1548846	Up
2116	LAT2	1.1542959	Up
2323	MINCR	1.1527215	Up
2024	MTSS1	1.150562	Up
2644	LOC101929151	1.150059	Up
878	EPN1	1.1497474	Up
2653	AUNIP	1.1485842	Up
906	LMAN2	1.1483466	Up
1146		1.1478264	Up
1845	FBXO28	1.1473003	Up
2483	MS4A5	1.146743	Up
2613	RIDA	1.1435362	Up
1119	OAS2	1.143332	Up
1303	VWA9	1.1419936	Up
2153	C1QTNF5///MFRP	1.1416195	Up
2404		1.1412976	Up
2580	LOC100288181	1.1407527	Up
1547	KLF9	1.1397801	Up
2898	KANSL3	1.1394355	Up
3399	FAM95A	1.1391998	Up
2629	JMJD4	1.1378653	Up
1924	COL5A3	1.1365303	Up
2456	TLE6	1.1361879	Up
2037	ADAM18	1.1361543	Up
3048	CD83	1.1360551	Up
2948	LRRN3	1.1344866	Up
569	LOC101930489///MIR4435-2HG///LINC00152	1.1341477	Up
3012	SNTB1	1.1340542	Up
2533	MRPS30	1.1337934	Up
2134	RFX4	1.1333537	Up
3030	FRY	1.1331417	Up
